Date,Open,Close,High,Low,Volume
2018/11/28,3137.7477,3178.9326,3179.4108,3126.6179,7488195500
2018/11/29,3198.8259,3137.6542,3204.8565,3137.6542,8049846600
2018/11/30,3136.1962,3172.69,3175.154,3132.423,7092104400
2018/12/3,3260.6862,3260.9502,3273.6397,3228.3611,12148715700
2018/12/4,3256.2282,3267.7095,3267.94,3243.6951,7941503900
2018/12/5,3224.2556,3252.0041,3266.9039,3219.9785,7615305200
2018/12/6,3218.113,3181.673,3223.5219,3179.8948,7632877100
2018/12/7,3187.4919,3181.5646,3193.8191,3176.7061,5336192400
2018/12/10,3153.5228,3144.7631,3170.1523,3134.3845,6343727300
2018/12/11,3148.2256,3159.8158,3161.9557,3143.6072,5322387700
2018/12/12,3181.566,3170.6092,3182.2107,3160.2784,5330991400
2018/12/13,3178.891,3219.6924,3234.0817,3169.4234,9044275500
2018/12/14,3207.3481,3165.9109,3210.7221,3165.9109,8430125000
2018/12/17,3158.2844,3161.1966,3167.5125,3134.3653,6649700700
2018/12/18,3139.9493,3128.4265,3165.0018,3114.4684,6382031900
2018/12/19,3133.7416,3091.1255,3137.0099,3086.7579,5552229900
2018/12/20,3083.5441,3067.4169,3097.7202,3044.2929,6974946300
2018/12/21,3055.3258,3029.3951,3057.4007,3007.6096,7675810100
2018/12/24,3015.4974,3038.1981,3040.3524,3007.3292,5729961500
2018/12/25,3006.8787,3017.2815,3030.1418,2964.875,7868942500
2018/12/26,3012.869,3002.0327,3029.0608,2996.4829,5564703200
2018/12/27,3042.9491,2990.5057,3047.2348,2990.5057,8054178500
2018/12/28,2994.795,3010.6536,3024.3525,2984.8177,7105377900
2019/1/2,3017.0674,2969.5353,3018.7759,2958.4883,6866302100
2019/1/3,2963.0186,2964.8421,3000.4413,2953.2548,7086710300
2019/1/4,2940.1916,3035.8741,3036.8147,2935.8295,10331897200
2019/1/7,3055.1535,3054.303,3061.749,3035.9123,10116435900
2019/1/8,3049.8747,3047.7035,3055.51,3038.5339,8617058500
2019/1/9,3065.2307,3078.4759,3117.9614,3062.8474,10736435000
2019/1/10,3077.4817,3072.6864,3092.5411,3062.5721,8527175600
2019/1/11,3082.2615,3094.7782,3102.8333,3071.0264,7178642400
2019/1/14,3092.4984,3067.7845,3097.4064,3064.3827,6612170200
2019/1/15,3071.5185,3127.9904,3129.3708,3064.6705,8877296200
2019/1/16,3126.1347,3128.6517,3135.0117,3117.2926,8021434100
2019/1/17,3132.6285,3111.4168,3141.7099,3110.0608,8017487100
2019/1/18,3124.5025,3168.1739,3171.6864,3120.3458,10396383400
2019/1/21,3170.8773,3185.6364,3199.2134,3170.8773,9391502200
2019/1/22,3181.9494,3143.3171,3181.9494,3135.3378,7299052800
2019/1/23,3136.096,3141.0532,3157.6269,3131.8673,5987047800
2019/1/24,3146.6046,3158.7817,3165.6296,3125.3008,7293463600
2019/1/25,3165.1814,3184.4696,3203.1747,3164.4082,8396772900
2019/1/28,3203.1189,3183.7777,3228.8678,3174.7243,8262243100
2019/1/29,3177.261,3193.9698,3200.9898,3148.2345,7765833400
2019/1/30,3181.6551,3168.4829,3202.896,3167.8934,6374651700
2019/1/31,3182.6987,3201.6331,3216.0673,3178.0105,8624783900
2019/2/1,3225.7335,3247.3971,3247.4956,3207.7168,8201964100
2019/2/11,3239.8079,3306.4725,3307.0638,3239.8079,9881843400
2019/2/12,3306.3523,3330.3353,3335.3606,3298.6337,12223246200
2019/2/13,3337.7794,3397.0276,3405.5773,3329.1436,16382833200
2019/2/14,3392.8547,3402.1403,3415.3994,3381.9821,15112729000
2019/2/15,3391.242,3338.7047,3395.0294,3335.8705,14366860300
2019/2/18,3366.423,3445.7448,3445.7448,3366.423,18288608900
2019/2/19,3454.7216,3439.6078,3480.7938,3419.0731,17908378500
2019/2/20,3449.9321,3451.9273,3463.7735,3421.505,14739031100
2019/2/21,3450.1411,3442.7056,3500.2519,3431.631,18014328700
2019/2/22,3439.3781,3520.1182,3520.1182,3417.9784,18723797400
2019/2/25,3575.8528,3729.4831,3729.4831,3574.6885,34255712200
2019/2/26,3734.7059,3684.6935,3762.1128,3679.2705,35803869800
2019/2/27,3682.8116,3678.3921,3737.6317,3638.3334,28623600700
2019/2/28,3675.2642,3669.3703,3695.4646,3650.0537,18481022000
2019/3/1,3699.2157,3749.7143,3749.7143,3668.7653,20471100400
2019/3/4,3783.0367,3794.104,3886.5797,3764.7764,32349012600
2019/3/5,3785.3762,3816.0132,3816.1621,3770.7858,23085316600
2019/3/6,3822.8588,3848.0903,3855.1556,3787.5225,31807737100
2019/3/7,3841.1456,3808.8497,3845.182,3778.8004,32984654800
2019/3/8,3721.4016,3657.579,3774.5431,3656.1917,31799007700
2019/3/11,3663.9772,3729.9546,3731.9091,3650.8125,23091286500
2019/3/12,3758.3151,3755.3519,3804.72,3723.6785,27492638200
2019/3/13,3758.713,3724.1941,3763.0926,3708.8145,23368224800
2019/3/14,3710.2934,3698.4858,3747.819,3673.8509,19081723700
2019/3/15,3713.936,3745.005,3782.2364,3713.936,17517454400
2019/3/18,3753.6436,3851.7479,3851.7479,3733.6781,21692806000
